Any,Regió Sanitària,Àrea Bàsica de Salut,Població assegurada oficial CatSalut
2018,GIRONA,BÀSCARA,4569
2018,GIRONA,BESALÚ,6082
2018,GIRONA,LA BISBAL D'EMPORDÀ,16557
2018,GIRONA,BLANES,38543
2018,GIRONA,CALELLA,18505
2018,GIRONA,CAMPRODON,3920
2018,GIRONA,CANET DE MAR,22662
2018,GIRONA,CASSÀ DE LA SELVA,31807
2018,GIRONA,CELRÀ,9838
2018,GIRONA,L'ESCALA,15512
2018,GIRONA,FIGUERES,48558
2018,GIRONA,GIRONA 1,22254
2018,GIRONA,GIRONA 2,31770
2018,GIRONA,GIRONA 3,35424
2018,GIRONA,GIRONA 4,14918
2018,GIRONA,LA JONQUERA,6971
2018,GIRONA,LLANÇÀ,6729
2018,GIRONA,LLORET DE MAR,39599
2018,GIRONA,MALGRAT DE MAR,26940
2018,GIRONA,OLOT,38225
2018,GIRONA,PALAFRUGELL,30570
2018,GIRONA,PALAMÓS,28545
2018,GIRONA,PERALADA,7206
2018,GIRONA,RIPOLL-SANT JOAN DE LES ABADESSES,14338
2018,GIRONA,ROSES,32494
2018,GIRONA,SALT,41492
2018,GIRONA,SANT FELIU DE GUÍXOLS,35409
2018,GIRONA,SANTA COLOMA DE FARNERS,16017
2018,GIRONA,SARRIÀ DE TER,13530
2018,GIRONA,SILS/VIDRERES/MAÇANET DE LA SELVA,22272
2018,GIRONA,TORROELLA DE MONTGRÍ,15281
2018,GIRONA,VILAFANT,14161
2018,GIRONA,PINEDA,29347
2018,GIRONA,BREDA - HOSTALRIC,12656
2018,GIRONA,TORDERA,17293
2018,GIRONA,RIBES DE FRESER-CAMPDEVÀNOL,5735
2018,GIRONA,SANT JOAN LES FONTS,5163
2018,GIRONA,VALL D'EN BAS,6162
2018,CATALUNYA CENTRAL,ARTÉS,11040
2018,CATALUNYA CENTRAL,BERGA,21177
2018,CATALUNYA CENTRAL,CALAF,6622
2018,CATALUNYA CENTRAL,CARDONA,5126
2018,CATALUNYA CENTRAL,MONTSERRAT,12916
2018,CATALUNYA CENTRAL,CENTELLES,12253
2018,CATALUNYA CENTRAL,BAIX BERGUEDÀ,11362
2018,CATALUNYA CENTRAL,ALT BERGUEDÀ,4694
2018,CATALUNYA CENTRAL,ANOIA RURAL,10605
2018,CATALUNYA CENTRAL,MANLLEU,20316
2018,CATALUNYA CENTRAL,MANRESA 1,21171
2018,CATALUNYA CENTRAL,MANRESA 2,22812
2018,CATALUNYA CENTRAL,MANRESA 3,14489
2018,CATALUNYA CENTRAL,MANRESA 4,21991
2018,CATALUNYA CENTRAL,MOIÀ,9868
2018,CATALUNYA CENTRAL,NAVÀS/BALSARENY,9599
2018,CATALUNYA CENTRAL,LLUÇANÈS,5863
2018,CATALUNYA CENTRAL,SALLENT,6638
2018,CATALUNYA CENTRAL,NAVARCLES - SANT FRUITÓS DE BAGES,22892
2018,CATALUNYA CENTRAL,SANT HIPÒLIT DE VOLTREGÀ,6915
2018,CATALUNYA CENTRAL,SANT JOAN DE VILATORRADA,12925
2018,CATALUNYA CENTRAL,SANT QUIRZE DE BESORA,4551
2018,CATALUNYA CENTRAL,SANT VICENÇ DE CASTELLET,14927
2018,CATALUNYA CENTRAL,SANTA COLOMA DE QUERALT,3316
2018,CATALUNYA CENTRAL,SANTA MARGARIDA DE MONTBUI,9964
2018,CATALUNYA CENTRAL,EL SOLSONÈS,12729
2018,CATALUNYA CENTRAL,SÚRIA,8729
2018,CATALUNYA CENTRAL,SANTA EUGÈNIA DE BERGA,17703
2018,CATALUNYA CENTRAL,TONA,12149
2018,CATALUNYA CENTRAL,VALL DEL GES,18420
2018,CATALUNYA CENTRAL,VILANOVA DEL CAMÍ,12457
2018,CATALUNYA CENTRAL,CAPELLADES,10271
2018,CATALUNYA CENTRAL,PIERA,17476
2018,CATALUNYA CENTRAL,VIC-1 NORD,26180
2018,CATALUNYA CENTRAL,VIC-2 SUD,24392
2018,CATALUNYA CENTRAL,IGUALADA-1,20136
2018,CATALUNYA CENTRAL,IGUALADA-2,20434
2018,CATALUNYA CENTRAL,RODA DE TER,9538
2018,ALT PIRINEU i ARAN,ARAN,9139
2018,ALT PIRINEU i ARAN,LA CERDANYA,16087
2018,ALT PIRINEU i ARAN,ALT URGELL-SUD,3853
2018,ALT PIRINEU i ARAN,PALLARS SOBIRÀ,5802
2018,ALT PIRINEU i ARAN,LA POBLA DE SEGUR,4209
2018,ALT PIRINEU i ARAN,ALTA RIBAGORÇA,3495
2018,ALT PIRINEU i ARAN,LA SEU D'URGELL,16259
2018,ALT PIRINEU i ARAN,TREMP,8023
2018,BARCELONA,ARENYS DE MAR,23743
2018,BARCELONA,ARGENTONA,17409
2018,BARCELONA,BARCELONA 1-A,14146
2018,BARCELONA,BARCELONA 1-B,21983
2018,BARCELONA,BARCELONA 1-C,14439
2018,BARCELONA,BARCELONA 1-D,28708
2018,BARCELONA,BARCELONA 1-E,21171
2018,BARCELONA,BARCELONA 2-A,33434
2018,BARCELONA,BARCELONA 2-B,30084
2018,BARCELONA,BARCELONA 2-C,31031
2018,BARCELONA,BARCELONA 2-D,18715
2018,BARCELONA,BARCELONA 2-E,32938
2018,BARCELONA,BARCELONA 2-G,21704
2018,BARCELONA,BARCELONA 2-H,25911
2018,BARCELONA,BARCELONA 2-I,20461
2018,BARCELONA,BARCELONA 2-J,27153
2018,BARCELONA,BARCELONA 2-K,25393
2018,BARCELONA,BARCELONA 3-A,24339
2018,BARCELONA,BARCELONA 3-B,24477
2018,BARCELONA,BARCELONA 3-C,15025
2018,BARCELONA,BARCELONA 3-D,30465
2018,BARCELONA,BARCELONA 3-E,41735
2018,BARCELONA,BARCELONA 3-G,26910
2018,BARCELONA,BARCELONA 4-A,28280
2018,BARCELONA,BARCELONA 4-B,21723
2018,BARCELONA,BARCELONA 4-C,30856
2018,BARCELONA,BARCELONA 5-A,28357
2018,BARCELONA,BARCELONA 5-B,34868
2018,BARCELONA,BARCELONA 5-C,27094
2018,BARCELONA,BARCELONA 5-D,19080
2018,BARCELONA,BARCELONA 5-E,33800
2018,BARCELONA,BARCELONA 6-A,30073
2018,BARCELONA,BARCELONA 6-B,25767
2018,BARCELONA,BARCELONA 6-C,20915
2018,BARCELONA,BARCELONA 6-D,21283
2018,BARCELONA,BARCELONA 7-A,21488
2018,BARCELONA,BARCELONA 7-B,19003
2018,BARCELONA,BARCELONA 7-C,19236
2018,BARCELONA,BARCELONA 7-D,27531
2018,BARCELONA,BARCELONA 7-E,30153
2018,BARCELONA,BARCELONA 7-F,20383
2018,BARCELONA,BARCELONA 8-A,10000
2018,BARCELONA,BARCELONA 8-B,11906
2018,BARCELONA,BARCELONA 8-C,14022
2018,BARCELONA,BARCELONA 8-D,15753
2018,BARCELONA,BARCELONA 8-E,18405
2018,BARCELONA,BARCELONA 8-F,25549
2018,BARCELONA,BARCELONA 8-G,16535
2018,BARCELONA,BARCELONA 8-H,15250
2018,BARCELONA,BARCELONA 9-A,34243
2018,BARCELONA,BARCELONA 9-C,34472
2018,BARCELONA,BARCELONA 9-E,14487
2018,BARCELONA,BARCELONA 9-F,10444
2018,BARCELONA,BARCELONA 10-A,35261
2018,BARCELONA,BARCELONA 10-B,28666
2018,BARCELONA,BARCELONA 10-C,22863
2018,BARCELONA,BARCELONA 10-D,26752
2018,BARCELONA,BARCELONA 10-E,17046
2018,BARCELONA,BARCELONA 10-F,24141
2018,BARCELONA,BARCELONA 10-G,24151
2018,BARCELONA,BARCELONA 10-H,20117
2018,BARCELONA,BARCELONA 10-I,12624
2018,BARCELONA,CALDES DE MONTBUI,23311
2018,BARCELONA,CARDEDEU,21145
2018,BARCELONA,CASTELLAR DEL VALLÈS,25754
2018,BARCELONA,CERDANYOLA DEL VALLÈS 1,24018
2018,BARCELONA,CERDANYOLA DEL VALLÈS 2,24008
2018,BARCELONA,CORNELLÀ DE LLOBREGAT 1,32539
2018,BARCELONA,CORNELLÀ DE LLOBREGAT 2,25666
2018,BARCELONA,CORNELLÀ DE LLOBREGAT 3,13250
2018,BARCELONA,CORNELLÀ DE LLOBREGAT 4,16832
2018,BARCELONA,ESPARRAGUERA,27382
2018,BARCELONA,ESPLUGUES DE LLOBREGAT 1,18291
2018,BARCELONA,ESPLUGUES DE LLOBREGAT 2,28669
2018,BARCELONA,LA GARRIGA,28529
2018,BARCELONA,GAVÀ 1,19362
2018,BARCELONA,GAVÀ 2,25979
2018,BARCELONA,MARTORELL,28725
2018,BARCELONA,MARTORELLES,14057
2018,BARCELONA,MATARÓ 1,18828
2018,BARCELONA,MATARÓ 2,17051
2018,BARCELONA,MATARÓ 3,17959
2018,BARCELONA,MATARÓ 4,21932
2018,BARCELONA,MATARÓ 5,21483
2018,BARCELONA,MATARÓ 6,15309
2018,BARCELONA,MATARÓ 7,13811
2018,BARCELONA,MOLINS DE REI,29281
2018,BARCELONA,MONTORNÈS / MONTMELÓ,32650
2018,BARCELONA,OLESA DE MONTSERRAT,23588
2018,BARCELONA,PARETS DEL VALLÈS,18698
2018,BARCELONA,PENEDÈS RURAL,33226
2018,BARCELONA,EL PRAT DE LLOBREGAT 1,21427
2018,BARCELONA,EL PRAT DE LLOBREGAT 2,29583
2018,BARCELONA,EL PRAT DE LLOBREGAT 3,12815
2018,BARCELONA,PREMIÀ DE MAR,38193
2018,BARCELONA,SABADELL 1A,33288
2018,BARCELONA,SABADELL 1B,20867
2018,BARCELONA,SABADELL 2,24364
2018,BARCELONA,SABADELL 3A,19541
2018,BARCELONA,SABADELL 3B,16138
2018,BARCELONA,SABADELL 5,19356
2018,BARCELONA,SABADELL 6,30239
2018,BARCELONA,SABADELL 7,8844
2018,BARCELONA,SANT ANDREU DE LA BARCA,27763
2018,BARCELONA,SANT BOI DE LLOBREGAT 1,38578
2018,BARCELONA,SANT BOI DE LLOBREGAT 2,21260
2018,BARCELONA,SANT BOI DE LLOBREGAT 3,10951
2018,BARCELONA,SANT BOI DE LLOBREGAT 4,20823
2018,BARCELONA,SANT CELONI,34626
2018,BARCELONA,SANT FELIU DE LLOBREGAT 1,17914
2018,BARCELONA,SANT FELIU DE LLOBREGAT 2,26270
2018,BARCELONA,SANT JOAN DESPÍ 1,20300
2018,BARCELONA,SANT JOAN DESPÍ 2,13489
2018,BARCELONA,SANT JUST DESVERN,17315
2018,BARCELONA,SANT SADURNÍ D'ANOIA,21958
2018,BARCELONA,SANTA COLOMA DE GRAMENET 1,22217
2018,BARCELONA,SANTA COLOMA DE GRAMENET 2,15112
2018,BARCELONA,SANTA COLOMA DE GRAMENET 3,19547
2018,BARCELONA,SANTA COLOMA DE GRAMENET 4,22564
2018,BARCELONA,SANTA COLOMA DE GRAMENET 5,20738
2018,BARCELONA,SANTA PERPÈTUA DE LA MOGODA,25163
2018,BARCELONA,SITGES,24591
2018,BARCELONA,TERRASSA A,41252
2018,BARCELONA,TERRASSA B,26861
2018,BARCELONA,TERRASSA C,10736
2018,BARCELONA,TERRASSA D,32937
2018,BARCELONA,TERRASSA E,62499
2018,BARCELONA,TERRASSA F,41730
2018,BARCELONA,VALLIRANA,22876
2018,BARCELONA,VILADECANS 1,23757
2018,BARCELONA,VILADECANS 2,22268
2018,BARCELONA,VILASSAR DE MAR,24996
2018,BARCELONA,BADALONA 1,11750
2018,BARCELONA,BADALONA 2,16030
2018,BARCELONA,BADALONA 3,19986
2018,BARCELONA,BADALONA 4,12173
2018,BARCELONA,BADALONA 5,18833
2018,BARCELONA,BADALONA 6,24215
2018,BARCELONA,BADALONA 8,14875
2018,BARCELONA,BADALONA 9,18340
2018,BARCELONA,BADALONA 10,9770
2018,BARCELONA,BADALONA 11,23010
2018,BARCELONA,BADALONA 12,11723
2018,BARCELONA,GRANOLLERS 1 -OEST,22626
2018,BARCELONA,GRANOLLERS 2 - NORD,29687
2018,BARCELONA,GRANOLLERS 3 - CENTRE EST,28837
2018,BARCELONA,GRANOLLERS 4 - SUD,16162
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 1 - CENTRE,28702
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 2 -S.JOSEP,22764
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 3 - COLLBLANC,24885
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 4 TORRASSA,26219
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 5-S.EULÀLIA N.,19728
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 6-S.EULÀLIA S.,23056
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 7-FLORIDA N.,21399
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 8-FLORIDA S.,22354
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 9-PUBILLA C.,28982
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 10 - C.SERRA,10379
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 11 - GORNAL,8367
2018,BARCELONA,L'HOSPITALET DE LLOBREGAT 12 (BELLVITGE),25473
2018,BARCELONA,LA LLAGOSTA,13888
2018,BARCELONA,MONTCADA I REIXAC,34078
2018,BARCELONA,RUBÍ 1,31238
2018,BARCELONA,RUBÍ 2,39918
2018,BARCELONA,SANT ADRIÀ DEL BESÒS 1,20818
2018,BARCELONA,SANT ADRIÀ DEL BESÒS 2,15990
2018,BARCELONA,VALL DEL TENES,36446
2018,BARCELONA,VILANOVA I LA GELTRÚ 1,23964
2018,BARCELONA,VILANOVA I LA GELTRÚ 2,23687
2018,BARCELONA,GARRAF RURAL,37033
2018,BARCELONA,MONTGAT,19465
2018,BARCELONA,BARBERÀ DEL VALLÈS,32566
2018,BARCELONA,CIUTAT BADIA,14027
2018,BARCELONA,BARCELONA 7-G,31607
2018,BARCELONA,BARCELONA 8-I,17864
2018,BARCELONA,BARCELONA 10-J,22719
2018,BARCELONA,SANT ANDREU DE LLAVANERES,18295
2018,BARCELONA,BADALONA 7A,19247
2018,BARCELONA,BADALONA 7B,19473
2018,BARCELONA,SABADELL 4-A,14943
2018,BARCELONA,SABADELL 4-B,23731
2018,BARCELONA,MOLLET DEL VALLÈS-EST,28690
2018,BARCELONA,MOLLET DEL VALLÈS-2 OEST,23546
2018,BARCELONA,VILASSAR DE DALT,15812
2018,BARCELONA,LA ROCA DEL VALLÈS,10263
2018,BARCELONA,TERRASSA-G,24971
2018,BARCELONA,BARCELONA 6-E,23304
2018,BARCELONA,CUBELLES-CUNIT,25596
2018,BARCELONA,MARTORELL RURAL,26588
2018,BARCELONA,EL MASNOU-ALELLA,23790
2018,BARCELONA,OCATA-TEIÀ,14502
2018,BARCELONA,SANT QUIRZE DEL VALLÈS,17769
2018,BARCELONA,CASTELLDEFELS-1,36498
2018,BARCELONA,CASTELLDEFELS-2,27645
2018,BARCELONA,PALLEJÀ,11265
2018,BARCELONA,SANTA COLOMA DE GRAMENET 6,20586
2018,BARCELONA,CORBERA DE LLOBREGAT,16988
2018,BARCELONA,ABRERA,12122
2018,BARCELONA,BEGUES,6585
2018,BARCELONA,SANT VICENÇ DELS HORTS-1,21260
2018,BARCELONA,SANT VICENÇ DELS HORTS-2,12464
2018,BARCELONA,ALT MOGENT,20329
2018,BARCELONA,RUBÍ -3,15955
2018,BARCELONA,VILANOVA I LA GELTRÚ 3,18612
2018,BARCELONA,BARCELONA 3-H,18469
2018,BARCELONA,CERDANYOLA-RIPOLLET,13395
2018,BARCELONA,BARCELONA 8J,24474
2018,BARCELONA,RIPOLLET-1,17708
2018,BARCELONA,RIPOLLET-2,14627
2018,BARCELONA,SANT CUGAT DEL VALLÈS-1,30887
2018,BARCELONA,SANT CUGAT DEL VALLÈS-2,31727
2018,BARCELONA,SANT CUGAT DEL VALLÈS-3,24598
2018,BARCELONA,PALAU-SOLITÀ I PLEGAMANS,14714
2018,BARCELONA,POLINYÀ-SENTMENAT,16792
2018,BARCELONA,BARCELONA 9-H,30807
2018,BARCELONA,BARCELONA 9-I,24043
2018,BARCELONA,VILAFRANCA DEL PENEDÈS 1,19755
2018,BARCELONA,VILAFRANCA DEL PENEDÈS 2,21367
2018,BARCELONA,VILADECANS 3,23281
2018,SENSE ESPECIFICAR,SENSE ESPECIFICAR,8
2017,LLEIDA,AGRAMUNT,6523
2017,LLEIDA,ALCARRÀS,13190
2017,LLEIDA,ALFARRÀS/ALMENAR,9896
2017,LLEIDA,ARTESA DE SEGRE,4090
2017,LLEIDA,BALAGUER,27694
2017,LLEIDA,BELLPUIG,7026
2017,LLEIDA,LES BORGES BLANQUES,15956
2017,LLEIDA,CERVERA,20416
2017,LLEIDA,LA GRANADELLA,2527
2017,LLEIDA,LLEIDA 1 CENTRE HISTÒRIC-RAMBLA FERRAN,19520
2017,LLEIDA,LLEIDA 2 RONDA-MARIOLA,25404
2017,LLEIDA,LLEIDA 3 EIXAMPLE,23484
2017,LLEIDA,LLEIDA 4 BALÀFIA-PARDINYES,29753
2017,LLEIDA,LLEIDA 5  CAPPONT,15879
2017,LLEIDA,LLEIDA 6 BORDETA-MAGRANERS,16157
2017,LLEIDA,LLEIDA RURAL 1-NORD,22965
2017,LLEIDA,PLA D'URGELL,37381
2017,LLEIDA,PONTS,3694
2017,LLEIDA,SERÒS,6816
2017,LLEIDA,TÀRREGA,23121
2017,LLEIDA,LLEIDA RURAL 2-SUD,7492
2017,LLEIDA,ALMACELLES,8824
2017,LLEIDA,LLEIDA 7 ONZE DE SETEMBRE,10254
2017,CAMP DE TARRAGONA,EL VENDRELL,45925
2017,CAMP DE TARRAGONA,LES BORGES DEL CAMP,6529
2017,CAMP DE TARRAGONA,CAMBRILS,32576
2017,CAMP DE TARRAGONA,CONSTANTÍ,6797
2017,CAMP DE TARRAGONA,CORNUDELLA DE MONTSANT,2194
2017,CAMP DE TARRAGONA,FALSET,6708
2017,CAMP DE TARRAGONA,MONTBLANC,15934
2017,CAMP DE TARRAGONA,MONT-ROIG DEL CAMP,12350
2017,CAMP DE TARRAGONA,EL MORELL,11777
2017,CAMP DE TARRAGONA,RIUDOMS,12357
2017,CAMP DE TARRAGONA,TARRAGONA 1,14572
2017,CAMP DE TARRAGONA,TARRAGONA 2,27775
2017,CAMP DE TARRAGONA,TARRAGONA 3,29967
2017,CAMP DE TARRAGONA,TARRAGONA 4,15598
2017,CAMP DE TARRAGONA,TARRAGONA 5,16442
2017,CAMP DE TARRAGONA,TARRAGONA 6,19361
2017,CAMP DE TARRAGONA,TORREDEMBARRA,34751
2017,CAMP DE TARRAGONA,ALT CAMP EST,11544
2017,CAMP DE TARRAGONA,VALLS URBÀ,27007
2017,CAMP DE TARRAGONA,REUS 1,13398
2017,CAMP DE TARRAGONA,REUS 2,27129
2017,CAMP DE TARRAGONA,REUS 3,22532
2017,CAMP DE TARRAGONA,REUS 4,21447
2017,CAMP DE TARRAGONA,REUS 5,27234
2017,CAMP DE TARRAGONA,BAIX PENEDÈS - INTERIOR,14741
2017,CAMP DE TARRAGONA,VANDELLÒS I L'HOSPITALET DE L'INFANT,5611
2017,CAMP DE TARRAGONA,ALT CAMP OEST,6258
2017,CAMP DE TARRAGONA,SALOU,25274
2017,CAMP DE TARRAGONA,VILA-SECA,21181
2017,CAMP DE TARRAGONA,TARRAGONA-7 (SANT SALVADOR),11185
2017,CAMP DE TARRAGONA,LA SELVA DEL CAMP,7120
2017,CAMP DE TARRAGONA,CALAFELL,22712
2017,CAMP DE TARRAGONA,TARRAGONA-8,15639
2017,TERRES DE L'EBRE,AMPOSTA,30541
2017,TERRES DE L'EBRE,DELTEBRE,11736
2017,TERRES DE L'EBRE,FLIX,7695
2017,TERRES DE L'EBRE,MÓRA LA NOVA - MÓRA D'EBRE,14079
2017,TERRES DE L'EBRE,L'AMETLLA DE MAR - EL PERELLÓ,9279
2017,TERRES DE L'EBRE,SANT CARLES DE LA RÀPITA,23699
2017,TERRES DE L'EBRE,TERRA ALTA,11242
2017,TERRES DE L'EBRE,TORTOSA 1 - EST,23366
2017,TERRES DE L'EBRE,TORTOSA 2 - OEST,23833
2017,TERRES DE L'EBRE,ULLDECONA,12203
2017,TERRES DE L'EBRE,L'ALDEA - CAMARLES - L'AMPOLLA,10486
2017,GIRONA,ANGLÈS,12070
2017,GIRONA,ARBÚCIES/SANT HILARI,12156
2017,GIRONA,BANYOLES,31634
2017,GIRONA,BÀSCARA,4547
2017,GIRONA,BESALÚ,6043
2017,GIRONA,LA BISBAL D'EMPORDÀ,16602
2017,GIRONA,BLANES,38462
2017,GIRONA,CALELLA,18296
2017,GIRONA,CAMPRODON,3913
2017,GIRONA,CANET DE MAR,22485
2017,GIRONA,CASSÀ DE LA SELVA,31438
2017,GIRONA,CELRÀ,9751
2017,GIRONA,L'ESCALA,15471
2017,GIRONA,FIGUERES,48088
2017,GIRONA,GIRONA 1,22277
2017,GIRONA,GIRONA 2,31296
2017,GIRONA,GIRONA 3,35292
2017,GIRONA,GIRONA 4,14669
2017,GIRONA,LA JONQUERA,7033
2017,GIRONA,LLANÇÀ,6790
2017,GIRONA,LLORET DE MAR,39533
2017,GIRONA,MALGRAT DE MAR,26683
2017,GIRONA,OLOT,37930
2017,GIRONA,PALAFRUGEL,30511
2017,GIRONA,PALAMÓS,28363
2017,GIRONA,PERALADA,7195
2017,GIRONA,RIPOLL-SANT JOAN DE LES ABADESSES,14372
2017,GIRONA,ROSES,32548
2017,GIRONA,SALT,40860
2017,GIRONA,SANT FELIU DE GUÍXOLS,35132
2017,GIRONA,SANTA COLOMA DE FARNERS,15948
2017,GIRONA,SARRIÀ DE TER,13484
2017,GIRONA,SILS/VIDRERES/MAÇANET DE LA SELVA,22137
2017,GIRONA,TORROELLA DE MONTGRÍ,15141
2017,GIRONA,VILAFANT,14066
2017,GIRONA,PINEDA,29071
2017,GIRONA,BREDA - HOSTALRIC,12613
2017,GIRONA,TORDERA,17107
2017,GIRONA,RIBES DE FRESER-CAMPDEVÀNOL,5768
2017,GIRONA,SANT JOAN LES FONTS,5152
2017,GIRONA,VALL D'EN BAS,6176
2017,CATALUNYA CENTRAL,ARTÉS,11037
2017,CATALUNYA CENTRAL,BERGA,21193
2017,CATALUNYA CENTRAL,CALAF,6596
2017,CATALUNYA CENTRAL,CARDONA,5197
2017,CATALUNYA CENTRAL,MONTSERRAT,12868
2017,CATALUNYA CENTRAL,CENTELLES,12207
2017,CATALUNYA CENTRAL,BAIX BERGUEDÀ,11368
2017,CATALUNYA CENTRAL,ALT BERGUEDÀ,4684
2017,CATALUNYA CENTRAL,ANOIA RURAL,10585
2017,CATALUNYA CENTRAL,MANLLEU,20276
2017,CATALUNYA CENTRAL,MANRESA 1,20929
2017,CATALUNYA CENTRAL,MANRESA 2,22553
2017,CATALUNYA CENTRAL,MANRESA 3,14414
2017,CATALUNYA CENTRAL,MANRESA 4,22056
2017,CATALUNYA CENTRAL,MOIÀ,9745
2017,CATALUNYA CENTRAL,NAVÀS/BALSARENY,9630
2017,CATALUNYA CENTRAL,LLUÇANÈS,5888
2017,CATALUNYA CENTRAL,SALLENT,6616
2017,CATALUNYA CENTRAL,NAVARCLES - SANT FRUITÓS DE BAGES,22819
2017,CATALUNYA CENTRAL,SANT HIPÒLIT DE VOLTREGÀ,6935
2017,CATALUNYA CENTRAL,SANT JOAN DE VILATORRADA,12857
2017,CATALUNYA CENTRAL,SANT QUIRZE DE BESORA,4517
2017,CATALUNYA CENTRAL,SANT VICENÇ DE CASTELLET,14863
2017,CATALUNYA CENTRAL,SANTA COLOMA DE QUERALT,3337
2017,CATALUNYA CENTRAL,SANTA MARGARIDA DE MONTBUI,9902
2017,CATALUNYA CENTRAL,EL SOLSONÈS,12675
