CLASS,AGE,SEX,SURVIVED
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Hombre,Muere
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Sobrevive
1a,Adulto,Mujer,Muere
1a,Adulto,Mujer,Muere
1a,Adulto,Mujer,Muere
1a,Adulto,Mujer,Muere
1a,Menor,Hombre,Sobrevive
1a,Menor,Hombre,Sobrevive
1a,Menor,Hombre,Sobrevive
1a,Menor,Hombre,Sobrevive
1a,Menor,Hombre,Sobrevive
1a,Menor,Mujer,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Sobrevive
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Hombre,Muere
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Sobrevive
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Adulto,Mujer,Muere
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Hombre,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
2a,Menor,Mujer,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Sobrevive
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
3a,Adulto,Hombre,Muere
