age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
5,admin.,married,secondary,no,39,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,technician,divorced,secondary,no,63,yes,no,unknown,5,may,4,1,-1,0,unknown,no
1,blue-collar,married,secondary,no,-7,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,technician,married,secondary,no,-3,no,no,unknown,5,may,5,1,-1,0,unknown,no
3,admin.,divorced,secondary,no,506,yes,no,unknown,5,may,5,1,-1,0,unknown,no
3,admin.,single,secondary,no,0,yes,no,unknown,5,may,2,1,-1,0,unknown,no
4,services,divorced,secondary,no,2586,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,management,married,secondary,no,49,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,retired,married,secondary,no,529,yes,no,unknown,5,may,5,1,-1,0,unknown,no
3,admin.,single,primary,no,-171,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,self-employed,married,tertiary,no,-364,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,technician,married,secondary,no,0,yes,no,unknown,5,may,4,2,-1,0,unknown,no
5,technician,divorced,secondary,no,0,no,no,unknown,5,may,3,1,-1,0,unknown,no
1,management,single,tertiary,no,0,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,1291,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,management,divorced,tertiary,no,-244,yes,no,unknown,5,may,4,1,-1,0,unknown,no
2,management,married,tertiary,no,0,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,admin.,single,secondary,no,-76,yes,no,unknown,5,may,5,1,-1,0,unknown,no
1,technician,single,secondary,no,-103,yes,yes,unknown,5,may,2,1,-1,0,unknown,no
3,entrepreneur,single,tertiary,no,243,no,yes,unknown,5,may,3,1,-1,0,unknown,no
3,management,single,tertiary,no,424,yes,no,unknown,5,may,2,1,-1,0,unknown,no
4,services,married,primary,no,179,yes,no,unknown,5,may,5,1,-1,0,unknown,no
2,admin.,married,tertiary,no,0,yes,no,unknown,5,may,2,1,-1,0,unknown,no
5,technician,divorced,secondary,no,989,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,blue-collar,married,primary,no,249,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,services,married,secondary,no,790,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,retired,married,tertiary,no,100,no,no,unknown,5,may,5,1,-1,0,unknown,no
5,management,divorced,tertiary,no,59,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,technician,married,secondary,no,1205,yes,no,unknown,5,may,3,2,-1,0,unknown,no
2,services,married,secondary,no,25,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
5,management,married,secondary,no,282,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
5,blue-collar,married,primary,no,23,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,technician,married,secondary,no,1937,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,technician,married,secondary,no,384,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,582,no,yes,unknown,5,may,3,1,-1,0,unknown,no
5,services,divorced,secondary,no,91,no,no,unknown,5,may,4,1,-1,0,unknown,no
4,services,divorced,secondary,no,0,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
5,services,divorced,secondary,yes,1,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,admin.,single,secondary,no,206,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,services,divorced,secondary,no,164,no,no,unknown,5,may,3,1,-1,0,unknown,no
4,technician,single,secondary,no,690,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,admin.,married,secondary,no,2343,yes,no,unknown,5,may,5,1,-1,0,unknown,yes
4,self-employed,married,tertiary,no,137,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,married,primary,no,173,yes,no,unknown,5,may,5,2,-1,0,unknown,no
5,admin.,married,secondary,no,45,no,no,unknown,5,may,5,1,-1,0,unknown,yes
3,technician,married,secondary,no,1270,yes,no,unknown,5,may,5,1,-1,0,unknown,yes
4,management,divorced,secondary,no,16,yes,yes,unknown,5,may,3,2,-1,0,unknown,no
5,retired,married,secondary,no,486,yes,no,unknown,5,may,3,2,-1,0,unknown,no
4,management,single,secondary,no,50,no,no,unknown,5,may,1,1,-1,0,unknown,no
1,technician,married,secondary,no,152,yes,yes,unknown,5,may,3,2,-1,0,unknown,no
5,admin.,married,secondary,no,290,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,entrepreneur,divorced,secondary,no,-37,no,no,unknown,5,may,3,1,-1,0,unknown,no
3,management,married,tertiary,no,101,yes,yes,unknown,5,may,5,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,383,no,no,unknown,5,may,4,1,-1,0,unknown,no
5,retired,married,tertiary,no,81,yes,no,unknown,5,may,2,1,-1,0,unknown,no
3,technician,married,secondary,no,0,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,management,married,tertiary,no,229,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,-674,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,married,primary,no,90,no,no,unknown,5,may,2,1,-1,0,unknown,no
5,blue-collar,married,primary,no,128,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,married,primary,no,179,yes,no,unknown,5,may,1,3,-1,0,unknown,no
1,technician,single,tertiary,no,0,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,54,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,technician,married,tertiary,no,151,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,admin.,married,secondary,no,61,no,yes,unknown,5,may,1,1,-1,0,unknown,no
5,retired,single,secondary,no,30,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,management,married,tertiary,no,523,yes,no,unknown,5,may,5,2,-1,0,unknown,no
1,services,divorced,secondary,no,31,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,technician,divorced,secondary,no,79,no,no,unknown,5,may,2,1,-1,0,unknown,no
5,self-employed,married,primary,no,-34,yes,yes,unknown,5,may,3,2,-1,0,unknown,no
3,blue-collar,married,primary,no,448,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,retired,divorced,primary,no,81,yes,no,unknown,5,may,2,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,144,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,admin.,married,secondary,no,351,yes,no,unknown,5,may,5,1,-1,0,unknown,no
2,management,single,tertiary,no,-67,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,management,divorced,tertiary,no,262,no,no,unknown,5,may,3,1,-1,0,unknown,no
5,technician,married,primary,no,0,no,no,unknown,5,may,2,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,26,yes,no,unknown,5,may,1,1,-1,0,unknown,no
4,services,married,secondary,no,41,yes,yes,unknown,5,may,2,2,-1,0,unknown,no
5,technician,married,tertiary,no,7,no,yes,unknown,5,may,3,1,-1,0,unknown,no
2,technician,single,secondary,no,105,yes,no,unknown,5,may,4,2,-1,0,unknown,no
1,admin.,single,secondary,no,818,yes,yes,unknown,5,may,1,1,-1,0,unknown,no
2,services,married,secondary,no,-16,yes,yes,unknown,5,may,1,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,2,1,-1,0,unknown,no
5,services,married,secondary,no,2476,yes,no,unknown,5,may,5,1,-1,0,unknown,yes
2,admin.,single,secondary,no,217,yes,no,unknown,5,may,4,1,-1,0,unknown,no
3,technician,single,secondary,no,1685,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,admin.,single,secondary,no,802,yes,yes,unknown,5,may,2,2,-1,0,unknown,no
1,unemployed,single,tertiary,no,0,yes,no,unknown,5,may,2,2,-1,0,unknown,no
1,blue-collar,married,secondary,no,94,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,technician,single,secondary,no,0,yes,no,unknown,5,may,2,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,517,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,265,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,housemaid,divorced,primary,no,947,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,self-employed,single,secondary,no,3,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,unemployed,married,tertiary,no,42,no,no,unknown,5,may,1,1,-1,0,unknown,no
3,blue-collar,married,secondary,no,37,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,57,yes,no,unknown,5,may,2,1,-1,0,unknown,no
2,services,married,secondary,no,22,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,blue-collar,divorced,primary,no,8,yes,no,unknown,5,may,3,2,-1,0,unknown,no
4,unemployed,married,secondary,no,293,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,services,married,primary,no,3,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,blue-collar,married,primary,no,348,yes,no,unknown,5,may,5,2,-1,0,unknown,no
1,student,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
3,management,married,tertiary,no,-4,yes,no,unknown,5,may,5,1,-1,0,unknown,no
3,management,married,secondary,no,18,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,technician,married,primary,no,139,no,no,unknown,5,may,2,2,-1,0,unknown,no
3,services,married,secondary,no,0,yes,no,unknown,5,may,2,2,-1,0,unknown,no
5,retired,divorced,secondary,no,216,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,782,yes,no,unknown,5,may,2,3,-1,0,unknown,no
4,blue-collar,married,secondary,no,904,yes,no,unknown,5,may,2,2,-1,0,unknown,no
3,technician,single,tertiary,no,47,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,services,single,secondary,no,176,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,1225,yes,no,unknown,5,may,5,5,-1,0,unknown,no
4,technician,married,secondary,no,86,yes,no,unknown,5,may,4,1,-1,0,unknown,no
1,admin.,single,secondary,no,82,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,management,married,tertiary,no,271,yes,no,unknown,5,may,2,1,-1,0,unknown,no
5,technician,married,secondary,no,1378,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,admin.,married,tertiary,no,184,no,no,unknown,5,may,5,2,-1,0,unknown,yes
5,blue-collar,married,primary,no,0,no,no,unknown,5,may,4,3,-1,0,unknown,no
2,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,services,married,secondary,no,1357,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
2,retired,single,primary,no,434,no,no,unknown,5,may,2,1,-1,0,unknown,no
5,admin.,divorced,secondary,no,92,yes,no,unknown,5,may,2,1,-1,0,unknown,no
5,admin.,divorced,secondary,no,1151,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,unemployed,married,secondary,no,41,yes,no,unknown,5,may,3,2,-1,0,unknown,no
2,technician,married,secondary,no,51,yes,no,unknown,5,may,1,2,-1,0,unknown,no
5,services,married,secondary,no,214,yes,no,unknown,5,may,5,2,-1,0,unknown,no
5,management,married,secondary,no,1161,yes,no,unknown,5,may,5,1,-1,0,unknown,no
2,services,married,tertiary,no,37,yes,no,unknown,5,may,4,1,-1,0,unknown,no
2,technician,divorced,secondary,no,787,yes,no,unknown,5,may,5,2,-1,0,unknown,no
2,services,married,secondary,no,59,yes,no,unknown,5,may,5,1,-1,0,unknown,no
3,technician,married,secondary,no,253,yes,no,unknown,5,may,5,1,-1,0,unknown,no
3,admin.,married,tertiary,no,211,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,retired,married,primary,no,235,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,blue-collar,single,secondary,no,53,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
2,management,single,tertiary,no,0,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,retired,married,secondary,no,2127,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,management,married,tertiary,no,377,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,management,married,tertiary,no,73,yes,no,unknown,5,may,2,2,-1,0,unknown,no
4,admin.,married,secondary,no,445,yes,no,unknown,5,may,1,1,-1,0,unknown,no
2,blue-collar,married,secondary,no,243,yes,no,unknown,5,may,4,1,-1,0,unknown,no
2,blue-collar,single,secondary,no,307,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,services,married,secondary,no,155,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,technician,divorced,tertiary,no,173,no,yes,unknown,5,may,2,1,-1,0,unknown,no
4,management,married,tertiary,no,400,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,blue-collar,divorced,primary,no,1428,yes,no,unknown,5,may,1,2,-1,0,unknown,no
4,admin.,married,secondary,no,219,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,self-employed,married,tertiary,no,7,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,blue-collar,married,secondary,no,575,yes,no,unknown,5,may,5,1,-1,0,unknown,no
2,services,married,secondary,no,0,yes,no,unknown,5,may,5,1,-1,0,unknown,no
3,management,married,tertiary,no,176,yes,yes,unknown,5,may,1,1,-1,0,unknown,no
3,management,married,tertiary,no,517,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,retired,married,secondary,no,56,yes,no,unknown,5,may,3,1,-1,0,unknown,no
3,blue-collar,married,secondary,no,-390,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,retired,married,secondary,no,330,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,housemaid,divorced,primary,no,195,no,no,unknown,5,may,5,2,-1,0,unknown,no
3,services,married,secondary,no,301,yes,no,unknown,5,may,3,1,-1,0,unknown,no
5,blue-collar,married,primary,no,-41,yes,no,unknown,5,may,4,1,-1,0,unknown,no
3,technician,married,tertiary,no,483,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,housemaid,married,primary,no,965,no,no,unknown,5,may,3,1,-1,0,unknown,no
3,management,married,tertiary,no,378,yes,yes,unknown,5,may,2,2,-1,0,unknown,no
3,unemployed,married,secondary,no,219,yes,no,unknown,5,may,4,1,-1,0,unknown,no
1,blue-collar,married,primary,no,324,yes,no,unknown,5,may,3,1,-1,0,unknown,no
2,entrepreneur,divorced,secondary,no,-69,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,retired,married,secondary,no,0,no,yes,unknown,5,may,2,1,-1,0,unknown,no
4,blue-collar,married,primary,no,278,yes,no,unknown,5,may,2,2,-1,0,unknown,no
2,management,single,tertiary,no,34,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,services,divorced,secondary,no,1467,yes,no,unknown,5,may,2,1,-1,0,unknown,no
4,blue-collar,married,primary,no,-12,yes,no,unknown,5,may,1,1,-1,0,unknown,no
2,services,married,secondary,no,388,yes,no,unknown,5,may,5,2,-1,0,unknown,no
5,entrepreneur,married,secondary,no,294,yes,no,unknown,5,may,5,2,-1,0,unknown,no
5,blue-collar,married,primary,no,627,yes,no,unknown,5,may,4,1,-1,0,unknown,no
4,blue-collar,married,primary,no,25,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,admin.,divorced,secondary,no,315,yes,no,unknown,5,may,3,2,-1,0,unknown,no
3,blue-collar,married,primary,no,0,yes,no,unknown,5,may,1,1,-1,0,unknown,no
4,admin.,divorced,secondary,no,66,yes,no,unknown,5,may,3,1,-1,0,unknown,no
4,blue-collar,divorced,primary,no,-9,yes,yes,unknown,5,may,5,1,-1,0,unknown,no
4,technician,married,secondary,no,349,yes,yes,unknown,5,may,2,1,-1,0,unknown,no
3,admin.,married,secondary,no,0,no,no,unknown,5,may,3,1,-1,0,unknown,no
4,technician,married,secondary,no,434,yes,no,unknown,5,may,2,1,-1,0,unknown,no
4,management,married,tertiary,no,3237,yes,no,unknown,5,may,4,3,-1,0,unknown,no
1,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,3,2,-1,0,unknown,no
3,management,married,tertiary,no,207,yes,no,unknown,5,may,1,1,-1,0,unknown,no
3,blue-collar,married,secondary,no,483,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,services,married,secondary,no,2248,yes,no,unknown,5,may,5,2,-1,0,unknown,no
4,admin.,married,secondary,no,428,yes,no,unknown,5,may,1,1,-1,0,unknown,no
5,blue-collar,married,secondary,no,0,yes,yes,unknown,5,may,3,1,-1,0,unknown,no
2,services,single,secondary,no,0,yes,no,unknown,5,may,2,1,-1,0,unknown,no
2,technician,divorced,secondary,no,140,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,management,single,tertiary,no,297,yes,no,unknown,5,may,2,1,-1,0,unknown,no
3,blue-collar,married,primary,no,279,yes,no,unknown,5,may,4,1,-1,0,unknown,no
5,entrepreneur,divorced,secondary,no,901,yes,no,unknown,5,may,1,3,-1,0,unknown,no
1,technician,single,secondary,no,2573,yes,no,unknown,5,may,1,2,-1,0,unknown,no
3,services,married,secondary,no,143,yes,yes,unknown,5,may,4,1,-1,0,unknown,no
3,blue-collar,married,secondary,no,475,yes,no,unknown,5,may,4,2,-1,0,unknown,no
5,blue-collar,married,secondary,no,70,yes,no,unknown,5,may,5,2,-1,0,unknown,no
2,management,single,tertiary,no,318,yes,no,unknown,5,may,2,2,-1,0,unknown,no
3,technician,married,secondary,no,275,yes,no,unknown,5,may,2,1,-1,0,unknown,no
4,management,divorced,tertiary,no,742,yes,no,unknown,5,may,1,3,-1,0,unknown,no
3,entrepreneur,married,primary,no,236,yes,no,unknown,5,may,3,1,-1,0,unknown,no
1,student,single,tertiary,no,25,yes,no,unknown,5,may,2,2,-1,0,unknown,no
3,management,single,tertiary,no,600,yes,no,unknown,5,may,3,1,-1,0,unknown,no
3,admin.,divorced,secondary,no,-349,yes,no,unknown,5,may,5,2,-1,0,unknown,no
3,blue-collar,married,primary,no,183,yes,yes,unknown,5,may,2,2,-1,0,unknown,no
3,blue-collar,married,primary,no,0,yes,no,unknown,5,may,5,1,-1,0,unknown,no
4,management,single,tertiary,no,0,yes,yes,unknown,5,may,5,2,-1,0,unknown,yes
3,blue-collar,divorced,primary,no,0,yes,no,unknown,5,may,5,1,-1,0,unknown,no
5,technician,married,secondary,no,1078,yes,no,unknown,5,may,1,4,-1,0,unknown,no
5,entrepreneur,divorced,secondary,no,155,no,no,unknown,5,may,2,3,-1,0,unknown,no
3,admin.,married,secondary,no,190,yes,no,unknown,5,may,2,2,-1,0,unknown,no
5,retired,married,secondary,no,319,yes,no,unknown,5,may,2,3,-1,0,unknown,no
3,services,divorced,secondary,no,-185,yes,no,unknown,5,may,3,3,-1,0,unknown,no
4,services,married,secondary,no,47,no,no,unknown,5,may,4,2,-1,0,unknown,no
3,services,single,secondary,no,570,yes,no,unknown,5,may,1,2,-1,0,unknown,no
3,self-employed,married,tertiary,no,19,no,no,unknown,5,may,3,2,-1,0,unknown,no
5,blue-collar,married,primary,no,61,yes,no,unknown,5,may,5,3,-1,0,unknown,no
3,admin.,married,secondary,no,-62,yes,yes,unknown,5,may,1,2,-1,0,unknown,no
5,technician,married,tertiary,no,258,no,no,unknown,5,may,4,4,-1,0,unknown,no
5,blue-collar,married,primary,no,76,yes,no,unknown,5,may,3,2,-1,0,unknown,no
1,blue-collar,single,secondary,no,0,yes,no,unknown,5,may,1,2,-1,0,unknown,no
2,admin.,single,secondary,no,352,yes,no,unknown,5,may,4,2,-1,0,unknown,no
4,admin.,married,secondary,no,368,yes,no,unknown,5,may,2,2,-1,0,unknown,no
5,technician,single,tertiary,no,339,yes,no,unknown,5,may,1,3,-1,0,unknown,no
2,blue-collar,married,secondary,no,1331,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,self-employed,married,secondary,no,672,yes,no,unknown,5,may,3,2,-1,0,unknown,no
3,management,married,tertiary,no,58,yes,no,unknown,5,may,2,2,-1,0,unknown,no
1,student,single,secondary,no,423,yes,no,unknown,5,may,4,3,-1,0,unknown,no
5,management,married,tertiary,no,0,no,no,unknown,5,may,2,2,-1,0,unknown,no
2,technician,married,secondary,no,19,yes,no,unknown,5,may,4,4,-1,0,unknown,no
5,technician,divorced,primary,no,13,yes,no,unknown,5,may,4,2,-1,0,unknown,no
2,blue-collar,single,secondary,no,3,yes,no,unknown,5,may,3,2,-1,0,unknown,no
1,student,single,secondary,no,82,yes,no,unknown,5,may,3,2,-1,0,unknown,no
4,blue-collar,divorced,primary,no,28,yes,no,unknown,5,may,2,3,-1,0,unknown,no
5,technician,married,secondary,no,792,yes,no,unknown,5,may,1,2,-1,0,unknown,no
5,admin.,married,secondary,no,531,yes,no,unknown,5,may,4,2,-1,0,unknown,no
5,retired,married,secondary,no,211,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,services,single,secondary,no,62,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,technician,married,secondary,no,1234,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,management,married,tertiary,no,313,yes,no,unknown,5,may,1,2,-1,0,unknown,no
5,blue-collar,married,secondary,no,89,yes,no,unknown,5,may,2,3,-1,0,unknown,no
4,blue-collar,married,secondary,no,129,yes,yes,unknown,5,may,3,2,-1,0,unknown,no
5,admin.,married,secondary,no,353,yes,no,unknown,5,may,2,2,-1,0,unknown,no
5,services,divorced,primary,no,96,yes,yes,unknown,5,may,4,2,-1,0,unknown,no
3,services,divorced,secondary,no,398,yes,yes,unknown,5,may,3,2,-1,0,unknown,no
2,admin.,single,tertiary,no,193,no,no,unknown,5,may,2,2,-1,0,unknown,no
4,admin.,married,secondary,no,-358,yes,no,unknown,5,may,4,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,539,yes,yes,unknown,5,may,5,2,-1,0,unknown,no
5,technician,single,secondary,no,0,yes,no,unknown,5,may,5,2,-1,0,unknown,no
3,retired,single,primary,no,0,no,no,unknown,5,may,2,2,-1,0,unknown,no
4,blue-collar,married,secondary,no,490,yes,no,unknown,5,may,5,2,-1,0,unknown,no
5,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,3,2,-1,0,unknown,no
4,management,married,secondary,no,161,yes,no,unknown,5,may,4,3,-1,0,unknown,no
2,technician,divorced,tertiary,no,2558,no,no,unknown,5,may,3,2,-1,0,unknown,no
2,admin.,single,secondary,no,98,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,management,single,tertiary,no,115,no,no,unknown,5,may,2,4,-1,0,unknown,no
3,blue-collar,single,secondary,no,436,yes,no,unknown,5,may,4,3,-1,0,unknown,no
4,technician,married,tertiary,no,831,yes,no,unknown,5,may,4,3,-1,0,unknown,no
3,blue-collar,married,secondary,no,290,yes,no,unknown,5,may,4,2,-1,0,unknown,no
4,blue-collar,married,secondary,no,1,no,no,unknown,5,may,5,3,-1,0,unknown,no
1,blue-collar,single,secondary,no,-457,yes,no,unknown,5,may,2,2,-1,0,unknown,no
5,management,single,tertiary,no,1387,yes,no,unknown,5,may,3,5,-1,0,unknown,no
4,blue-collar,married,secondary,no,30,yes,no,unknown,5,may,2,4,-1,0,unknown,no
4,admin.,single,secondary,no,1022,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,technician,married,secondary,no,56,yes,yes,unknown,5,may,3,2,-1,0,unknown,no
5,admin.,single,secondary,yes,-2,no,no,unknown,5,may,5,3,-1,0,unknown,no
2,services,single,secondary,no,121,yes,no,unknown,5,may,3,2,-1,0,unknown,no
3,blue-collar,single,secondary,no,842,yes,no,unknown,5,may,2,3,-1,0,unknown,no
4,management,divorced,secondary,no,693,yes,no,unknown,5,may,2,3,-1,0,unknown,no
3,blue-collar,divorced,secondary,no,-333,yes,no,unknown,5,may,3,2,-1,0,unknown,no
5,blue-collar,married,primary,no,1533,yes,no,unknown,5,may,4,2,-1,0,unknown,no
2,management,married,tertiary,no,46,yes,no,unknown,5,may,1,4,-1,0,unknown,no
4,technician,married,secondary,no,44,yes,no,unknown,5,may,2,4,-1,0,unknown,no
3,blue-collar,married,primary,no,-100,yes,no,unknown,5,may,5,2,-1,0,unknown,no
4,services,married,tertiary,no,510,yes,no,unknown,5,may,5,4,-1,0,unknown,no
5,management,married,tertiary,no,685,yes,no,unknown,5,may,3,3,-1,0,unknown,no
4,management,single,tertiary,no,187,yes,no,unknown,5,may,2,2,-1,0,unknown,no
4,blue-collar,married,secondary,no,66,yes,no,unknown,5,may,5,2,-1,0,unknown,no
2,admin.,married,secondary,no,560,yes,no,unknown,5,may,3,3,-1,0,unknown,no
3,blue-collar,married,secondary,no,0,yes,no,unknown,5,may,3,2,-1,0,unknown,no
2,admin.,single,secondary,no,12,yes,no,unknown,5,may,3,2,-1,0,unknown,no
4,blue-collar,single,secondary,no,34,yes,no,unknown,5,may,5,4,-1,0,unknown,no
2,entrepreneur,single,tertiary,no,1068,yes,no,unknown,5,may,5,2,-1,0,unknown,no
3,blue-collar,married,secondary,no,211,yes,no,unknown,5,may,3,4,-1,0,unknown,no
