"NumInvoices","NumCancellations","TotalCost","NumStocks","Days","DiffInvoices"
2,1,608.1,34,5,1
25,4,5713.28,211,2.2,21
6,1,2628.98,133,31,5
4,2,904.33,50,85,2
5,0,725.07,53,3.1,5
4,0,1031.41,47,4.9,4
1,0,427.8,24,370.9,1
7,0,2609.1,57,28,7
7,2,3947.7,109,10,5
4,0,836.33,38,70.9,4
1,0,453.01,26,113.1,1
12,2,18793.41,109,23,10
1,0,236.26,12,179.1,1
1,0,383.95,22,233.9,1
1,0,110.4,4,352,1
2,0,779.57,38,315,2
1,0,234,4,332.2,1
1,0,155.35,11,371.8,1
2,0,1013.04,38,78,2
1,0,427.6,27,63.1,1
2,0,546.43,114,133.9,2
7,3,9120.39,178,51.1,4
11,0,4196.01,42,1.9,11
210,14,29072.1,1768,0,196
5,3,3868.2,160,3.1,2
1,0,275.88,15,128.2,1
1,0,4366.78,53,81,1
6,5,21024.01,132,3,1
3,2,2949.12,49,235.2,1
2,2,2203.2,4,249.2,0
1,0,112.08,4,86.2,1
13,6,4227.7,237,15,7
2,0,2791.59,84,116.1,2
3,0,1531.44,81,52,3
2,0,1898.52,62,7.1,2
2,0,494.08,16,138,2
1,0,1693.88,45,316.1,1
7,0,6989.63,205,3.2,7
1,0,1143.6,32,238.1,1
1,0,1351.45,12,210.2,1
1,0,892.47,55,59.2,1
5,1,1351.24,47,16.8,4
6,1,804.23,40,19,5
8,4,3868.7,88,20.8,4
2,3,707.72,25,20.9,-1
5,1,2273.32,81,4.1,4
6,2,1603.87,76,1.9,4
2,0,574.42,54,8.9,2
1,1,305.71,14,2,0
3,0,463.66,17,9.2,3
1,0,91.85,4,65,1
1,0,324.92,21,192,1
1,0,192.6,2,373.1,1
1,0,400.54,25,256.1,1
2,0,545.48,21,334,2
2,0,860.41,43,53,2
1,0,430.48,14,18.1,1
1,2,194.18,13,359.9,-1
3,0,6977.04,6,9.9,3
1,1,412.58,25,183.2,0
3,0,483.65,27,36.1,3
1,1,484.36,25,167.9,0
3,0,514.85,27,260.1,3
1,0,229.64,15,44.2,1
1,0,125.92,2,101.1,1
2,0,1063.46,38,147.1,2
2,0,572.2,27,95,2
1,0,166.04,4,280.8,1
1,1,1517.88,14,178,0
4,0,942.34,55,2.9,4
1,0,92.72,6,213.9,1
2,1,918.98,41,70.2,1
5,0,1759.5,1,74.3,5
1,0,397.12,25,59,1
7,1,1468.12,58,2.1,6
3,0,430.15,19,5,3
6,0,1018.71,46,2.2,6
2,1,253.05,9,322,1
6,1,6748.4,13,37,5
1,0,215.05,9,262,1
2,0,383.03,27,32,2
1,0,417.38,24,145,1
1,0,312.38,18,282.1,1
4,0,2612.86,148,58.9,4
1,0,134.1,12,172.9,1
2,0,683.13,115,33,2
14,2,5583.62,95,2,12
4,2,2714.27,67,143.2,2
25,1,3876.4,229,4.1,24
2,0,1118.99,34,69.9,2
8,1,1680.76,69,65.1,7
2,0,325.96,47,29,2
4,0,354.09,26,267,4
1,0,871.54,72,22,1
2,0,1050.89,47,31,2
1,0,135.18,43,96,1
1,1,299.75,17,289.9,0
6,3,1881.7,66,107.1,3
3,2,1289.15,95,78.1,1
1,0,38.1,3,372.1,1
6,2,2162.68,155,7.1,4
2,0,1106.4,37,210.1,2
1,1,504.2,5,52,0
1,0,147.12,3,138,1
2,1,1548.07,86,25.9,1
1,0,559.12,26,282.9,1
7,3,3986.22,240,25.9,4
6,0,1607.06,72,185.1,6
0,1,-14.9,0,365.9,-1
2,0,380.64,8,83.9,2
2,0,599.97,58,326.1,2
1,0,374,4,281.9,1
2,0,343.23,1,142.9,2
2,0,2218.02,67,57.1,2
12,0,1535.77,100,3.1,12
2,1,841.64,38,17.9,1
3,1,552.57,7,44.1,2
1,0,298,7,275,1
2,0,1463.04,12,8.9,2
4,0,703.47,39,24.1,4
1,0,309.05,7,88,1
3,1,1158.27,66,63,2
2,1,1351.09,75,67.2,1
2,2,313.77,4,213.9,0
1,0,380.47,78,23.8,1
3,0,331,2,185.1,3
1,0,188.14,27,30,1
2,1,347.3,22,42,1
2,0,216.5,3,204.1,2
28,8,16293.1,30,8.1,20
1,0,138.68,10,264,1
2,0,509.58,59,17.9,2
5,0,2919.81,55,11.1,5
2,2,246,1,58.2,0
5,3,2128.83,78,39,2
8,0,3075.04,48,22.9,8
5,0,1662.3,17,2.2,5
5,0,2483.63,37,4,5
2,0,363.65,19,148.1,2
4,1,2982.35,53,138.1,3
1,0,594,2,127.9,1
6,2,1301.44,34,8,4
1,0,164.23,27,16.9,1
37,13,16389.74,233,3.1,24
1,0,405.38,28,160.9,1
1,0,176.97,28,63.9,1
4,1,929.95,22,88,3
2,0,694.05,42,4.1,2
5,0,2062.7,59,34.9,5
1,1,105.1,8,122,0
2,2,409.9,20,77.9,0
15,5,33462.81,28,21,10
3,1,606.28,102,23.8,2
7,1,2156.45,80,1.8,6
4,1,1012.9,56,16.8,3
4,0,1504.27,81,14.9,4
1,0,114.14,9,25.1,1
8,0,11581.8,21,64,8
2,2,876.29,87,46,0
3,0,683.9,68,131,3
0,1,-3.75,0,300.9,-1
2,0,604.51,29,35.1,2
1,0,462.95,23,287.9,1
6,5,1407.29,83,143.2,1
7,1,2053.7,82,15.8,6
8,2,4143.02,166,30.1,6
3,0,1843,13,2,3
6,2,1042.07,53,8,4
4,1,1382.84,64,5.1,3
1,0,329.85,17,9.1,1
11,3,4734.26,81,0.8,8
1,0,108.07,19,305.9,1
8,4,3979.04,208,3.8,4
2,0,266.39,15,6.9,2
8,1,1841.03,75,8,7
1,0,771.91,108,88.9,1
1,0,160.18,10,9,1
2,2,1194.75,19,2.9,0
1,0,135.95,5,111.9,1
4,0,452.24,116,6.9,4
86,3,10930.26,94,3,83
1,0,144.8,8,197.2,1
1,0,738.6,22,211.2,1
1,0,39.24,9,155.9,1
9,3,7092.06,6,155.1,6
2,0,372.22,12,29,2
1,1,377.2,28,239.1,0
1,0,97.5,4,18,1
2,1,1215.62,73,0.1,1
2,1,545,27,73.1,1
1,0,535.32,75,291.9,1
15,4,6854.51,41,2.9,11
3,0,409.5,8,31,3
2,0,503.76,31,22.9,2
4,0,414.76,26,22.9,4
3,2,902.22,52,3.9,1
1,1,200.72,3,77.2,0
4,3,1197.94,45,21.9,1
3,0,455.88,25,196,3
3,0,534.85,30,106.1,3
13,2,9797.92,166,3.9,11
1,0,120.95,7,317.9,1
3,0,149.05,4,105.1,3
18,4,5613.43,277,11.1,14
2,1,468.95,21,173.1,1
1,0,81.57,4,56,1
1,1,178.47,14,322.9,0
1,0,50.55,3,371.8,1
8,3,1311.62,67,9,5
13,2,4786.99,155,0.9,11
10,6,3365.43,67,2.1,4
5,0,3346.28,156,53,5
3,0,789.89,39,73,3
1,0,204,1,6.9,1
28,1,7272.75,313,16,27
9,3,2584.4,101,3.8,6
2,0,689.9,36,63.9,2
5,3,936.15,32,0.8,2
6,0,6912,6,113.2,6
2,1,659.68,40,22.1,1
3,0,1247.5,8,30.2,3
2,0,799.48,76,10.9,2
2,1,996.52,55,38.1,1
1,0,190.55,11,356.9,1
2,0,642.77,37,54.1,2
2,1,886.63,23,57.1,1
3,0,881.07,44,137.9,3
3,0,908.46,24,80,3
2,0,676.99,38,8.1,2
1,1,471.57,13,253.1,0
1,0,560.47,33,290.9,1
1,0,305.28,18,98.9,1
2,0,629.31,33,30.2,2
10,8,3079.1,106,31,2
4,1,1805.91,77,14,3
2,0,656.68,14,63.9,2
17,11,5684.61,246,8.8,6
1,0,348.15,18,212,1
3,1,1201.96,74,63.8,2
3,0,271.4,5,24,3
1,0,183.4,8,249.1,1
1,0,307.53,15,253.1,1
1,0,248.61,10,71.9,1
1,0,346.98,11,190.9,1
4,0,1119.49,51,12,4
1,0,205.86,14,372.8,1
2,1,430.9,48,24,1
1,0,115.46,14,82,1
2,0,344,1,9.9,2
24,3,3717.82,281,0.2,21
1,0,228.8,9,192,1
1,0,177.15,7,266.2,1
1,0,919.61,22,129.1,1
4,0,729.27,99,0.7,4
26,17,12432.28,95,0.8,9
5,0,220.1,2,3.8,5
1,0,58.08,6,179,1
11,10,27964.48,503,1,1
9,1,3595.48,63,125.9,8
2,0,303.75,15,3.9,2
2,1,272.38,17,157.1,1
97,21,57385.88,636,2.2,76
14,4,8689.39,98,8,10
1,1,319.82,21,20.8,0
5,1,459.83,19,70.1,4
8,5,7741.47,97,266.8,3
12,4,1708.86,4,20.9,8
1,0,74.4,6,70.1,1
10,4,5893.32,214,32.1,6
28,13,28658.88,156,0.9,15
1,0,207.36,1,98.8,1
1,0,101.19,8,234,1
24,3,6336.29,140,1,21
1,0,243.94,8,39.1,1
6,0,1098.48,14,3,6
1,1,59.5,1,128.1,0
4,1,1524.07,54,44,3
1,0,350.06,10,372.1,1
2,3,766.84,41,2,-1
7,1,1452.87,109,30.9,6
24,16,10510,95,0,8
4,10,2205.63,88,8.1,-6
1,1,485.19,30,117,0
8,0,984.91,66,21,8
5,2,1125,68,19,3
1,0,30.6,1,238.1,1
1,1,254.73,50,268.8,0
2,0,922.39,54,93.9,2
3,0,3866.33,185,89,3
8,2,2056.29,124,4.1,6
1,0,259.17,15,77.1,1
1,0,64,2,93.9,1
3,1,1039.3,30,23,2
1,0,77.3,3,261,1
2,0,109.8,7,273.1,2
4,3,1740.63,94,72.2,1
1,0,3096,1,196.1,1
5,6,2545.38,94,49.8,-1
8,1,3605.08,345,10,7
6,0,962.39,31,21.8,6
7,1,5055.79,132,16,6
3,0,423.72,40,107.9,3
5,1,2385.8,113,84.2,4
1,0,307.09,23,18.9,1
1,0,110.95,3,332.1,1
4,1,614.77,5,39,3
1,0,228.91,16,25.9,1
4,0,712.8,1,10,4
12,5,3348.48,231,28.9,7
4,0,1676.06,76,14,4
1,1,1250.37,73,203,0
1,0,486.22,15,5,1
0,1,-611.86,0,143.9,-1
4,0,971.76,67,32.9,4
4,1,1721.57,69,49,3
4,0,1201.06,59,94.1,4
4,1,1379.75,114,8.1,3
1,0,91.8,4,22,1
1,0,112.75,8,312.9,1
4,1,1644.99,74,121.9,3
2,0,1021.48,40,45.9,2
1,1,414.7,39,281.9,0
4,0,791.33,51,18,4
4,1,1310.14,102,36,3
2,0,712.88,11,63.1,2
1,0,116.01,29,26,1
3,2,426.81,37,7.9,1
2,0,353.65,41,3.9,2
3,0,2817.03,228,15.9,3
1,0,492.84,66,45.9,1
1,0,282.45,17,64.2,1
11,0,5725.47,95,25.9,11
1,0,121.18,11,45,1
9,0,3957.78,51,7.1,9
10,2,1648.79,138,14,8
1,0,71.4,1,267,1
3,2,1539.69,69,39,1
1,0,236.02,37,336.7,1
1,0,114.6,2,10.9,1
2,0,260.68,29,18.1,2
2,0,911.94,57,95,2
1,0,117.88,22,61,1
1,0,60.7,3,135.2,1
4,0,1797.78,97,11,4
6,2,3384.09,199,9.9,4
38,1,9803.96,48,3,37
4,0,870.09,42,18.9,4
4,0,869.46,56,9.1,4
2,0,250.26,7,14.9,2
6,1,1205.9,124,58.2,5
8,3,5820.16,255,30,5
1,0,353.48,22,93.2,1
3,0,1197.42,45,9.9,3
3,1,780.58,128,8.9,2
5,1,1518.43,82,56.1,4
1,0,333.74,5,267,1
3,2,133.62,3,121.9,1
1,0,62.64,5,126.9,1
4,0,819.29,18,78,4
2,0,847.41,62,239.9,2
2,0,163.2,5,200,2
2,1,2150.85,101,60,1
7,1,6083.04,23,3,6
1,0,108.21,16,272.9,1
1,0,257.7,9,201.1,1
1,0,358,2,81,1
1,0,160.95,10,225.1,1
14,1,2763.41,393,3.9,13
7,0,1357.6,147,12.1,7
2,0,605.12,43,74,2
1,1,101.17,53,211.2,0
2,1,727.27,34,24,1
4,1,680.83,20,10.9,3
1,0,329.56,22,261.1,1
4,0,663.65,59,96,4
3,0,270.4,12,112,3
1,0,600.07,56,203,1
1,0,121.74,27,92.1,1
1,0,430.5,16,50.1,1
6,1,1922.1,110,17.8,5
4,0,501.12,18,17.1,4
2,0,465.68,25,124,2
3,0,711.41,21,92,3
2,0,1030.4,35,156.2,2
2,1,390.66,13,3.1,1
1,0,0,1,13.9,1
3,0,698.58,28,11.1,3
1,0,292.32,77,61.1,1
1,0,557.62,8,61,1
2,0,944.1,8,268,2
1,0,200.29,11,262.9,1
35,0,7454.07,450,1,35
5,0,2107.66,66,52.9,5
12,7,3717.67,82,10.9,5
19,8,4404.44,88,2.1,11
11,4,3167.64,257,17,7
15,2,5315.92,177,0.9,13
1,0,590,1,365.9,1
1,1,178.26,79,36.9,0
2,0,276.56,15,31,2
1,0,138.98,16,113,1
2,0,590.93,30,63,2
4,0,258.4,5,15.1,4
1,0,542.73,46,40,1
1,1,126.3,9,63.8,0
3,0,814.86,67,122,3
3,3,1047.84,29,17.9,0
2,0,93.66,7,59.2,2
1,1,196.15,13,322.1,0
4,0,2709.12,157,23,4
1,0,361.11,41,155.1,1
2,0,578.94,29,38.1,2
2,0,873.74,48,189.2,2
1,1,197.95,10,359.1,0
1,0,87.4,5,137,1
4,0,2089.85,52,7.1,4
1,0,360,2,1,1
1,0,142.5,5,268,1
1,1,365.29,20,164.1,0
4,0,618.09,75,103.1,4
1,0,63.75,1,154.8,1
1,0,300.42,21,350.9,1
10,0,2000.86,50,3.9,10
1,0,15,1,119.9,1
3,1,1367.61,49,22.1,2
5,0,1456.79,82,6.8,5
3,3,1083.63,65,8.2,0
2,0,598.57,25,4,2
5,0,1555.32,47,21.8,5
3,1,578.66,55,1,2
4,1,5815.49,66,37,3
6,3,2140.07,100,63.8,3
3,0,640.76,14,0.7,3
26,10,10664.34,209,5,16
4,2,1491.7,77,70,2
2,0,567.36,10,71.9,2
1,0,199.48,25,16.9,1
5,0,787.85,6,2.8,5
10,2,7072.8,25,31.9,8
1,0,675.3,12,81.1,1
8,1,3617.57,74,38.1,7
1,0,1308.48,17,315.9,1
2,2,740.4,16,31.1,0
3,0,1140.93,37,92.1,3
1,0,350.9,21,14,1
3,0,3536.82,207,81.9,3
1,0,795.12,51,77,1
1,2,431.82,19,154,-1
1,0,860.12,54,200.2,1
7,0,10736.48,128,45,7
1,0,775.85,42,260.1,1
1,1,303.93,19,172.1,0
3,0,2543.72,115,67.2,3
1,1,377.6,20,276.2,0
1,0,341.36,8,70,1
1,0,233.76,14,63.8,1
1,0,247.32,16,10.2,1
2,1,910.72,36,15.8,1
1,0,373.94,16,66,1
1,1,389.28,24,7,0
1,0,743.53,51,71,1
1,0,674.7,32,122,1
1,0,768.24,42,80,1
1,0,609.95,85,257,1
1,0,439.03,29,268,1
1,1,431.26,23,58.9,0
4,1,3085.49,128,3,3
2,0,992.5,47,17,2
1,1,0,10,66.2,0
2,1,2191.22,122,8.2,1
1,0,56.16,1,50,1
2,0,623.4,29,256.2,2
1,1,263.75,14,353.9,0
1,1,721.32,39,365.9,0
1,0,378.64,23,89,1
3,0,3312.25,135,60.1,3
1,1,772.9,37,80.9,0
3,0,1019.76,45,98.9,3
3,0,572.56,85,26,3
6,1,3626.81,77,20.8,5
1,0,222.99,15,280.1,1
7,2,4122.28,123,30.1,5
1,0,534.57,35,329.1,1
2,1,627.15,35,121,1
3,0,797.96,50,11,3
1,0,544.08,13,74.2,1
1,0,59.8,1,203.1,1
8,2,2312.8,124,1.1,6
1,0,307.72,21,184.9,1
2,2,1325.29,42,21.1,0
5,1,1539.18,28,72.1,4
1,0,457.34,26,192,1
2,0,621.23,32,126.9,2
1,0,75,3,17.2,1
2,0,252.49,11,0.9,2
3,0,572.451,25,73.9,3
62,19,27487.41,234,1.2,43
5,2,988.91,15,8.2,3
1,0,213.55,17,107,1
3,0,1390.5,23,133.1,3
2,0,712.5,11,43.2,2
2,0,640.83,26,4.2,2
18,5,5845.44,223,11.1,13
1,0,221.06,16,63,1
2,2,140.35,8,134.1,0
2,1,1848.98,88,39.9,1
1,1,2601.55,127,51,0
3,0,1624.21,66,107.9,3
10,2,3550.7,103,0.2,8
3,0,582.6,25,19,3
1,0,218.47,70,9.9,1
4,0,1006.8,55,10.2,4
2,2,648.69,48,18.2,0
2,0,1269.1,44,67,2
2,0,534.24,9,74,2
7,2,3794.49,68,4.9,5
1,0,196.89,12,1.1,1
7,0,3408.06,143,14,7
1,0,283.71,54,255,1
1,0,296.64,13,91.2,1
3,1,1104.23,55,23,2
6,4,3465.67,137,16,2
1,0,291.88,19,23.2,1
6,0,2043.72,32,26,6
5,1,2916.45,315,25.9,4
2,0,590,1,258.9,2
2,0,356.98,16,165.2,2
2,2,1007.35,42,24.1,0
6,1,1737.82,43,17.1,5
14,8,9537.92,242,6.9,6
2,0,183.44,16,28.8,2
3,0,1445,14,38.2,3
1,1,143.25,9,182.7,0
1,0,674.68,41,58,1
1,1,297.95,17,99.9,0
2,0,1083.71,89,10.1,2
37,4,5656.75,184,1.1,33
2,0,165,7,99,2
4,0,2531.58,214,0.9,4
2,1,417.54,21,60.1,1
1,0,229.59,59,236,1
4,0,1431.78,64,191,4
2,2,1092.77,56,178.1,0
6,2,1441.53,57,37,4
2,1,291,14,197.9,1
5,3,1776.81,98,45.2,2
1,0,184.64,11,231.9,1
1,0,140.34,10,65.1,1
1,0,313.8,8,240.9,1
1,0,454.24,23,233,1
3,0,1122.41,69,78,3
3,0,575.4,26,57.1,3
13,4,8910.61,271,16.9,9
4,0,449.52,11,105,4
10,0,1215.82,73,51.2,10
3,0,1269.84,38,136,3
2,0,618.63,6,274.9,2
1,0,316.26,18,311,1
5,1,1990.12,34,7.1,4
2,1,617.93,28,10.1,1
2,1,321.05,19,282.2,1
5,2,1146.96,31,17.1,3
3,1,1136.77,60,22.9,2
1,1,1310.47,52,242.2,0
3,0,292,17,16.1,3
1,0,216.85,17,71,1
1,0,295.93,22,64,1
4,4,4282.88,182,67.1,0
2,1,452.82,26,311.9,1
4,0,2479.16,146,3,4
1,0,110.97,12,243.1,1
7,0,979.72,27,8.1,7
4,1,1785.16,86,1,3
1,0,251.21,15,260.1,1
1,0,205.1,10,126.1,1
1,0,152.2,4,73.2,1
4,0,891.12,50,72.1,4
3,0,1389.41,43,21,3
